episode,steps,collisions,balls_collected,epsilon
1650,44,2,10,0.0500
1660,68,9,10,0.0500
1670,75,15,10,0.0500
1680,94,21,10,0.0500
1690,85,8,10,0.0500
1700,88,12,10,0.0500
1710,126,21,10,0.0500
1720,78,8,10,0.0500
1730,89,4,10,0.0500
1740,80,7,10,0.0500
1750,82,12,10,0.0500
1760,100,17,10,0.0500
1770,79,15,10,0.0500
1780,60,4,10,0.0500
1790,92,15,10,0.0500
1800,76,13,10,0.0500
1810,64,9,10,0.0500
1820,97,10,10,0.0500
1830,82,20,10,0.0500
1840,72,8,10,0.0500
1850,130,24,10,0.0500
1860,68,6,10,0.0500
1870,117,14,10,0.0500
1880,125,12,10,0.0500
1890,65,7,10,0.0500
1900,108,21,10,0.0500
1910,97,12,10,0.0500
1920,126,23,10,0.0500
1930,73,9,10,0.0500
1940,84,6,10,0.0500
1950,69,6,10,0.0500
1960,74,9,10,0.0500
1970,126,20,10,0.0500
1980,104,14,10,0.0500
1990,69,9,10,0.0500
2000,98,12,10,0.0500
2010,65,9,10,0.0500
2020,127,19,10,0.0500
2030,112,9,10,0.0500
2040,51,9,10,0.0500
2050,103,18,10,0.0500
2060,71,10,10,0.0500
2070,64,3,10,0.0500
2080,63,11,10,0.0500
2090,53,6,10,0.0500
2100,130,11,10,0.0500
2110,84,9,10,0.0500
2120,132,15,10,0.0500
2130,106,10,10,0.0500
2140,132,33,10,0.0500
2150,88,11,10,0.0500
2160,201,29,10,0.0500
2170,82,7,10,0.0500
2180,56,6,10,0.0500
2190,85,10,10,0.0500
2200,105,23,10,0.0500
2210,59,4,10,0.0500
2220,166,21,10,0.0500
2230,57,13,10,0.0500
2240,85,17,10,0.0500
2250,71,6,10,0.0500
2260,99,9,10,0.0500
2270,94,21,10,0.0500
2280,137,23,10,0.0500
2290,48,2,10,0.0500
2300,93,11,10,0.0500
2310,52,4,10,0.0500
2320,33,4,10,0.0500
2330,80,16,10,0.0500
2340,120,14,10,0.0500
2350,70,16,10,0.0500
2360,135,21,10,0.0500
2370,82,14,10,0.0500
2380,97,26,10,0.0500
2390,106,15,10,0.0500
2400,108,8,10,0.0500
2410,115,15,10,0.0500
2420,69,15,10,0.0500
2430,87,18,10,0.0500
2440,50,12,10,0.0500
2450,91,20,10,0.0500
2460,172,51,10,0.0500
2470,99,16,10,0.0500
2480,53,3,10,0.0500
2490,61,6,10,0.0500
2500,104,21,10,0.0500
2510,115,21,10,0.0500
2520,145,33,10,0.0500
2530,62,7,10,0.0500
2540,81,18,10,0.0500
2550,89,31,10,0.0500
75,500,43,8,0.8006
1,73,12,10,0.0500
2,108,19,10,0.0500
3,54,3,10,0.0500
4,67,11,10,0.0500
5,80,17,10,0.0500
6,81,6,10,0.0500
7,71,10,10,0.0500
8,109,15,10,0.0500
9,122,17,10,0.0500
10,23,0,10,0.0500
11,68,14,10,0.0500
12,92,15,10,0.0500
13,124,24,10,0.0500
14,114,25,10,0.0500
15,55,15,10,0.0500
16,63,1,10,0.0500
17,48,9,10,0.0500
18,129,22,10,0.0500
19,83,11,10,0.0500
20,119,11,10,0.0500
21,69,15,10,0.0500
22,61,9,10,0.0500
23,71,7,10,0.0500
24,74,20,10,0.0500
25,61,3,10,0.0500
26,71,11,10,0.0500
27,102,8,10,0.0500
28,59,4,10,0.0500
29,115,16,10,0.0500
30,38,4,10,0.0500
31,98,17,10,0.0500
1,57,7,10,0.0500
2,91,21,10,0.0500
3,45,6,10,0.0500
4,70,14,10,0.0500
5,190,20,10,0.0500
6,130,14,10,0.0500
7,158,26,10,0.0500
8,53,1,10,0.0500
9,91,10,10,0.0500
10,55,5,10,0.0500
11,41,6,10,0.0500
12,79,20,10,0.0500
13,130,30,10,0.0500
14,168,39,10,0.0500
15,99,8,10,0.0500
16,121,19,10,0.0500
17,103,17,10,0.0500
18,122,19,10,0.0500
19,63,9,10,0.0500
20,51,8,10,0.0500
21,63,13,10,0.0500
22,79,10,10,0.0500
23,117,20,10,0.0500
24,57,8,10,0.0500
